河名,站名,水位,水势,"比昨日
+涨-落",流量,"设防
水位","警戒
水位","保证
水位",time
长江,寸滩,171.13,,-0.81,22600,--,--,--,2021-09-02 08:00
,武隆,171.21,,0.17,977,--,--,--,2021-09-02 08:00
,宜昌,47.78,,-0.12,29000,52.00,53.00,55.73,2021-09-02 08:00
,枝城,44.02,,-0.11,29500,48.00,49.00,51.75,2021-09-02 08:00
,沙市,39.28,,-0.11,25000,42.00,43.00,45.00,2021-09-02 08:00
,监利,33.39,,-0.09,23700,34.50,35.70,37.23,2021-09-02 08:00
,莲花塘,30.31,,0.00,,--,32.50,34.40,2021-09-02 08:00
,螺山,29.37,,-0.03,35300,31.00,32.00,34.01,2021-09-02 08:00
,汉口,24.58,,0.01,43700,25.00,27.30,29.73,2021-09-02 08:00
,黄石,21.03,,0.03,,22.80,24.50,27.50,2021-09-02 08:00
,码头镇,18.65,,0.02,,20.50,21.50,24.50,2021-09-02 08:00
,九江,17.51,,0.01,45600,--,20.00,23.25,2021-09-02 08:00
,三峡水库,158.91,,0.27,"26500(入)
27400(出)",--,--,--,2021-09-02 08:00
洞庭湖,城陵矶,30.38,,0.00,10600,--,33.00,34.55,2021-09-02 08:00
鄱阳湖,湖口,16.89,,0.04,1150,--,19.50,22.50,2021-09-02 08:00
湘江,湘潭,31.76,,0.08,1110,--,38.00,39.50,2021-09-02 08:00
资水,桃江,33.43,,-0.36,692,--,39.20,42.30,2021-09-02 08:00
沅水,桃源,33.74,,-0.05,2730,--,42.50,45.40,2021-09-02 08:00
澧水,石门,50.75,,-0.45,173,--,58.50,61.00,2021-09-02 08:00
松滋河,新江口,41.12,,-0.12,2480,43.00,44.00,45.77,2021-09-02 08:00
,沙道观,40.95,,-0.10,833,43.00,44.00,45.21,2021-09-02 08:00
藕池河,管家铺,35.59,,-0.10,1410,37.50,38.50,39.50,2021-09-02 08:00
,康家岗,35.37,,-0.09,43.6,37.50,38.50,39.87,2021-09-02 08:00
虎渡河,弥陀寺,39.10,,-0.11,718,42.00,43.00,44.15,2021-09-02 08:00
长湖,长湖,30.92,,-0.04,,31.50,32.50,33.50,2021-09-02 08:00
洪湖,挖沟咀,25.46,,-0.08,,25.80,26.20,27.00,2021-09-02 08:00
刁汊湖,五房台,24.10,,-0.01,,--,24.80,26.00,2021-09-02 08:00
斧头湖,三洲,21.98,,0.00,,21.50,22.80,23.94,2021-09-02 08:00
梁子湖,梁子镇,19.19,,-0.01,,19.00,20.50,21.36,2021-09-02 08:00
汉江,安康,241.54,,3.56,5840,--,--,--,2021-09-02 08:00
,白河,182.91,,3.87,10900,--,187.00,191.00,2021-09-02 08:00
,黄家港,93.28,,-0.01,7360,--,--,--,2021-09-02 08:00
,襄阳,65.75,,-0.18,,65.50,67.00,70.00,2021-09-02 08:00
,宜城,57.28,,-0.82,,56.50,57.50,59.30,2021-09-02 08:00
,皇庄,48.26,,0.38,11600,47.00,48.00,50.62,2021-09-02 08:00
,沙洋,41.85,,0.64,,40.80,41.80,44.50,2021-09-02 08:00
,岳口,37.56,,0.63,,36.90,37.90,40.62,2021-09-02 08:00
,仙桃,34.75,,0.66,7830,34.10,35.10,36.20,2021-09-02 08:00
,汉川,29.71,,0.40,,28.00,29.00,31.69,2021-09-02 08:00
,丹江口水库,165.50,,0.27,"15100(入)
7750(出)",--,--,--,2021-09-02 08:00
清江,水布垭,396.33,,-0.51,"463(入)
602(出)",--,--,--,2021-09-02 08:00
,隔河岩,195.87,,0.12,"505(入)
448(出)",--,--,--,2021-09-02 08:00
沮漳河,河溶,42.39,,0.51,194,47.50,48.50,50.00,2021-09-02 08:00
东荆河,潜江,38.90,,0.63,1570,38.40,39.70,42.11,2021-09-02 08:00
汉北河,天门,24.52,,-0.06,45.1,28.30,29.30,30.00,2021-09-02 08:00
大富水,应城,24.17,,0.01,45.1,27.50,29.00,33.00,2021-09-02 08:00
环水,花园,32.68,,-0.04,23.3,--,37.50,39.95,2021-09-02 08:00
,孝感,24.51,,-0.13,,26.50,27.50,31.00,2021-09-02 08:00
府河,隔蒲潭,24.86,,0.02,196,29.50,30.50,33.50,2021-09-02 08:00
府澴河,卧龙潭,24.07,,-0.06,,26.50,27.00,29.69,2021-09-02 08:00
富水,阳新,19.21,,0.03,,20.50,21.70,23.00,2021-09-02 08:00
滠水,黄陂,24.13,,0.03,,25.00,26.00,29.31,2021-09-02 08:00
倒水,李家集,24.40,,-0.38,,26.30,28.00,30.73,2021-09-02 08:00
举水,柳子港,23.54,,-0.03,71.8,28.00,29.00,33.11,2021-09-02 08:00
巴水,马家潭,21.56,,0.03,209,--,--,--,2021-09-02 08:00
蕲水,西河驿,20.14,,0.02,148,--,--,--,2021-09-02 08:00
